ENERGY,AREA
1.0235124760076777, 56.17283950617289
1.0753358925143954, 66.46090534979427
1.1098848368522074, 73.45679012345684
1.1530710172744725, 80.04115226337453
1.2048944337811902, 87.44855967078195
1.256717850287908, 95.67901234567907
1.299904030710173, 103.08641975308646
1.3517274472168912, 109.25925925925932
1.4208253358925147, 117.48971193415642
1.5071976967370444, 127.57201646090539
1.688579654510557, 131.06995884773667
1.8008637236084455, 138.47736625514406
1.9217850287907876, 146.29629629629633
2.01679462571977, 152.05761316872432
2.133397312859885, 158.23045267489715
2.267274472168906, 163.99176954732513
2.405470249520154, 168.93004115226344
2.6300383877159312, 175.5144032921811
2.794145873320538, 179.42386831275724
2.9841650671785036, 183.12757201646096
3.1914587332053745, 186.4197530864198
3.3901151631477937, 188.88888888888894
3.657869481765836, 191.5637860082305
3.856525911708254, 193.20987654320993
4.0551823416506725, 194.6502057613169
4.3056621880998085, 195.88477366255148
4.5302303262955865, 196.91358024691363
4.77207293666027, 197.94238683127577
4.944817658349329, 197.73662551440333
5.126199616122841, 198.35390946502062
5.368042226487525, 198.3539094650206
5.5321497120921315, 198.14814814814818
5.704894433781192, 197.73662551440333
5.912188099808063, 197.11934156378607
6.110844529750481, 196.09053497942392
6.326775431861805, 193.62139917695478
6.516794625719771, 189.71193415637865
6.680902111324378, 182.92181069958852
6.793186180422266, 175.92592592592598
6.888195777351249, 169.75308641975312
6.978886756238006, 163.16872427983543
7.078214971209214, 155.761316872428
7.207773512476009, 146.09053497942392
7.337332053742803, 136.83127572016465
7.466890595009597, 127.36625514403295
7.544625719769674, 118.51851851851859
7.717370441458734, 100.82304526748976
7.8037428023032644, 94.23868312757207
7.881477927063341, 86.62551440329221
8.045585412667947, 77.77777777777783
8.14059500959693, 66.04938271604942
8.179462571976968, 58.02469135802471
8.226967370441459, 50.61728395061732
8.300383877159309, 33.74485596707825
